subj,setsize,cond,rt,acc,lm,log,exp,grp
19,1,between,0.439028043,0.958333333,0.472211014,0.459525409,exp1a,29
19,1,within,0.48026625,1,0.491090574,0.467834447,exp1a,29
19,2,between,0.50148913,0.958333333,0.477662436,0.477976752,exp1a,29
19,2,within,0.521477794,0.944444444,0.519037737,0.534574997,exp1a,29
19,4,between,0.510895435,0.958333333,0.488565278,0.496428094,exp1a,29
19,4,within,0.590214545,0.916666667,0.574932063,0.601315547,exp1a,29
19,8,between,0.497397083,1,0.510370964,0.514879437,exp1a,29
19,8,within,0.6798225,0.944444444,0.686720715,0.668056098,exp1a,29
19,16,between,0.547316042,1,0.553982335,0.533330779,exp1a,29
19,16,within,0.646364219,0.888888889,0.910298018,0.734796648,exp1a,29
20,1,between,0.380321522,0.958333333,0.404816998,0.392555697,exp1a,30
20,1,within,0.451848182,0.916666667,0.479501378,0.470943613,exp1a,30
20,2,between,0.414870435,0.958333333,0.410209366,0.410615906,exp1a,30
20,2,within,0.511074,0.972222222,0.482941036,0.48295483,exp1a,30
20,4,between,0.456869583,1,0.420994102,0.428676114,exp1a,30
20,4,within,0.496014,0.972222222,0.489820353,0.494966047,exp1a,30
20,8,between,0.4265225,1,0.442563573,0.446736322,exp1a,30
20,8,within,0.496905571,0.972222222,0.503578986,0.506977264,exp1a,30
20,16,between,0.427842292,1,0.485702516,0.464796531,exp1a,30
20,16,within,0.546282,0.972222222,0.531096254,0.518988481,exp1a,30
21,1,between,0.29302125,1,0.432370589,0.403262787,exp1a,31
21,1,within,0.357797656,0.888888889,0.429199942,0.40982023,exp1a,31
21,2,between,0.647478333,1,0.443097602,0.442334179,exp1a,31
21,2,within,0.567577143,0.972222222,0.4449181,0.451556662,exp1a,31
21,4,between,0.401841875,1,0.464551629,0.481405572,exp1a,31
21,4,within,0.417319853,0.944444444,0.476354417,0.493293093,exp1a,31
21,8,between,0.505138043,0.958333333,0.507459682,0.520476964,exp1a,31
21,8,within,0.547004857,0.972222222,0.53922705,0.535029524,exp1a,31
21,16,between,0.497787708,1,0.593275789,0.559548356,exp1a,31
21,16,within,0.565285294,0.944444444,0.664972317,0.576765955,exp1a,31
22,1,between,0.431275,0.958333333,0.428805366,0.427017792,exp1a,32
22,1,within,0.426405294,0.944444444,0.451154383,0.430130911,exp1a,32
22,2,between,0.439403333,1,0.433868168,0.437491313,exp1a,32
22,2,within,0.464595441,0.944444444,0.467341116,0.473822236,exp1a,32
22,4,between,0.431369167,1,0.443993774,0.447964833,exp1a,32
22,4,within,0.547144,0.972222222,0.499714581,0.517513561,exp1a,32
22,8,between,0.468864792,1,0.464244984,0.458438354,exp1a,32
22,8,within,0.544526857,0.972222222,0.564461512,0.561204885,exp1a,32
22,16,between,0.469718913,0.958333333,0.504747404,0.468911875,exp1a,32
22,16,within,0.571515588,0.944444444,0.693955372,0.60489621,exp1a,32
23,1,between,0.465891304,0.958333333,0.492560321,0.479776783,exp1a,33
23,1,within,0.451727647,0.944444444,0.518588726,0.487942214,exp1a,33
23,2,between,0.52437587,0.958333333,0.501448544,0.504594217,exp1a,33
23,2,within,0.568759286,0.972222222,0.53399954,0.536626381,exp1a,33
23,4,between,0.531504783,0.958333333,0.519224991,0.529411652,exp1a,33
23,4,within,0.629688438,0.888888889,0.564821167,0.585310547,exp1a,33
23,8,between,0.546239783,0.958333333,0.554777883,0.554229087,exp1a,33
23,8,within,0.593698485,0.916666667,0.626464422,0.633994714,exp1a,33
23,16,between,0.535474167,1,0.625883667,0.579046522,exp1a,33
23,16,within,0.633759853,0.944444444,0.74975093,0.68267888,exp1a,33
24,1,between,0.3863225,1,0.39700016,0.390552036,exp1a,34
24,1,within,0.414961765,0.944444444,0.414211369,0.405550738,exp1a,34
24,2,between,0.403389792,1,0.401003037,0.402189394,exp1a,34
24,2,within,0.427415758,0.916666667,0.42706159,0.43488323,exp1a,34
24,4,between,0.424114565,0.958333333,0.409008792,0.413826752,exp1a,34
24,4,within,0.450917586,0.805555556,0.452762031,0.464215721,exp1a,34
24,8,between,0.418205435,0.958333333,0.425020302,0.42546411,exp1a,34
24,8,within,0.504902794,0.944444444,0.504162913,0.493548213,exp1a,34
24,16,between,0.438101304,0.958333333,0.457043323,0.437101467,exp1a,34
24,16,within,0.464699655,0.805555556,0.606964678,0.522880705,exp1a,34
25,1,between,0.665509583,1,0.646691363,0.648817404,exp1a,35
25,1,within,0.661715857,0.972222222,0.680477325,0.671418086,exp1a,35
25,2,between,0.687822391,0.958333333,0.659750711,0.671342181,exp1a,35
25,2,within,0.742158143,0.972222222,0.693742986,0.701777957,exp1a,35
25,4,between,0.61083,0.958333333,0.685869407,0.693866958,exp1a,35
25,4,within,0.680484143,0.972222222,0.720274308,0.732137829,exp1a,35
25,8,between,0.766256304,0.958333333,0.738106799,0.716391736,exp1a,35
25,8,within,0.783473429,0.972222222,0.773336952,0.7624977,exp1a,35
25,16,between,0.745867708,1,0.842581583,0.738916513,exp1a,35
25,16,within,0.755020972,1,0.879462239,0.792857571,exp1a,35
26,1,between,0.409,1,0.403862422,0.410086905,exp1a,36
26,1,within,0.452371429,0.972222222,0.447236675,0.455198361,exp1a,36
26,2,between,0.451791667,1,0.407264182,0.41217381,exp1a,36
26,2,within,0.514794118,0.944444444,0.45205722,0.458728235,exp1a,36
26,4,between,0.338285714,0.875,0.414067702,0.414260714,exp1a,36
26,4,within,0.358607143,0.777777778,0.461698308,0.462258109,exp1a,36
26,8,between,0.453791667,1,0.427674741,0.416347619,exp1a,36
26,8,within,0.5162,0.972222222,0.480980486,0.465787983,exp1a,36
26,16,between,0.400666667,1,0.45488882,0.418434524,exp1a,36
26,16,within,0.491470588,0.944444444,0.519544841,0.469317857,exp1a,36
27,1,between,0.4709775,1,0.464220505,0.462753508,exp1a,37
27,1,within,0.495131,0.972222222,0.495249738,0.489111765,exp1a,37
27,2,between,0.451247917,1,0.46663813,0.468163819,exp1a,37
27,2,within,0.478707917,1,0.499499353,0.500994708,exp1a,37
27,4,between,0.482733958,1,0.471473381,0.47357413,exp1a,37
27,4,within,0.539393529,0.944444444,0.507998584,0.512877651,exp1a,37
27,8,between,0.478516522,0.958333333,0.481143882,0.47898444,exp1a,37
27,8,within,0.514512273,0.916666667,0.524997044,0.524760594,exp1a,37
27,16,between,0.537681875,1,0.500484884,0.484394751,exp1a,37
27,16,within,0.586558056,1,0.558993966,0.536643537,exp1a,37
28,1,between,0.448167826,0.958333333,0.486842977,0.471074784,exp1a,38
28,1,within,0.483157353,0.944444444,0.519439648,0.506164808,exp1a,38
28,2,between,0.520476042,1,0.494266473,0.495196655,exp1a,38
28,2,within,0.538578857,0.972222222,0.52242772,0.520492834,exp1a,38
28,4,between,0.537480625,1,0.509113465,0.519318526,exp1a,38
28,4,within,0.567671176,0.944444444,0.528403865,0.53482086,exp1a,38
28,8,between,0.52290587,0.958333333,0.538807448,0.543440398,exp1a,38
28,8,within,0.52122,0.777777778,0.540356153,0.549148886,exp1a,38
28,16,between,0.493233333,1,0.598195415,0.567562269,exp1a,38
28,16,within,0.565195694,1,0.56426073,0.563476912,exp1a,38
29,1,between,0.492452273,0.916666667,0.530389552,0.502440874,exp1a,39
29,1,within,0.522271429,0.972222222,0.600671916,0.570194607,exp1a,39
29,2,between,0.56310375,1,0.552306408,0.56125423,exp1a,39
29,2,within,0.643300294,0.944444444,0.609461779,0.606627561,exp1a,39
29,4,between,0.646334348,0.958333333,0.596140122,0.620067586,exp1a,39
29,4,within,0.713484583,1,0.627041503,0.643060514,exp1a,39
29,8,between,0.660753261,0.958333333,0.683807549,0.678880942,exp1a,39
29,8,within,0.620319844,0.888888889,0.662200952,0.679493468,exp1a,39
29,16,between,0.56504,0.958333333,0.859142404,0.737694298,exp1a,39
29,16,within,0.672036528,1,0.732519849,0.715926421,exp1a,39
